Record ID	President	Administration/Term	Date	Year	Document Title	Document Type	Audience	Historical Context/Event	Group Mentioned (verbatim)	Group Category	Valence	Rationale (why positive/negative/etc.)	Excerpt / Quote	Topic Tags	Source URL	Source (collection/site)	Notes
REC-0011	John Quincy Adams	1825–1829	1827-12-04	1827	Third Annual Message	Annual message to Congress	U.S. Congress	"Reports on national conditions, emphasizing internal peace, prosperity, and the enjoyment of rights."	our fellow citizens	Americans (citizens) / civil rights & social order	Positive	Frames Americans as living in internal quiet and ‘full enjoyment’ of rights and faculties.	Internal quiet has left our fellow citizens in the full enjoyment of all their rights and in the free exercise of all their faculties	prosperity; civil rights; internal peace; national conditions	https://millercenter.org/the-presidency/presidential-speeches/december-4-1827-third-annual-message	Miller Center (UVA)	Positive group framing: ‘our fellow citizens’ portrayed as enjoying rights and freedom under internal peace.
REC-0012	John Quincy Adams	1825–1829	1827-12-04	1827	Third Annual Message	Annual message to Congress	U.S. Congress	Reports on violence and tensions in the Northwest involving U.S. citizens and Native nations.	a party of the Winnebago tribe	Native American tribe (Winnebago/Ho-Chunk) / conflict	Negative	Describes the group as committing ‘unprovoked murder’ and ‘acts of unequivocal hostility.’	the unprovoked murder of several citizens and other acts of unequivocal hostility committed by a party of the Winnebago tribe	frontier conflict; violence; military response; Native relations	https://millercenter.org/the-presidency/presidential-speeches/december-4-1827-third-annual-message	Miller Center (UVA)	Negative group framing: executive report characterizes a specific tribal party as hostile; reflects U.S. government framing in an official message.
REC-0013	Andrew Jackson	1829–1837	1832-07-10	1832	Veto Message Regarding the Bank of the United States (Bank Veto)	Veto message	U.S. Congress (returned to the Senate)	Bank War; Jackson vetoes recharter of the Second Bank of the United States.	"the humble members of society — the farmers, mechanics, and laborers"	"Class / working people (farmers, mechanics, laborers)"	Positive	Frames working people as the group most harmed by exclusive privileges and as having a just claim against unfair government favoritism.	"the humble members of society — the farmers, mechanics, and laborers —"	Bank War; class; privilege; populism; equality	https://millercenter.org/the-presidency/presidential-speeches/july-10-1832-bank-veto	Miller Center (UVA)	Same document also contains the negative ‘rich and powerful’ line; see next row.
REC-0014	Andrew Jackson	1829–1837	1832-08-24	1832	Insurrection act	Declaration of Inssurection	People of Virginia	Nat Turner Revolution; Jackson Issued an illegation action of Federal Troops to surpress and put down the Black resistance	Turner's revolutionaries	Black People	Negative	Explicitly criticizes elites for manipulating government for selfish ends.	It is to be regretted that the rich and powerful too often bend the acts of government to their selfish purposes.	Bank War; class; corruption; privilege	https://avalon.law.yale.edu/19th_century/jack01.asp	Avalon Project (Yale Law School)	Negative group framing: ‘rich and powerful’ described as bending government to selfish purposes.
REC-0015	Martin Van Buren	1837–1841	1837-03-04	1837	Inaugural Address	Inaugural address	The American people	Beginning of Van Buren presidency; reflecting on durability of U.S. institutions amid partisan conflict.	the virtue and fortitude of the people	Americans (citizens) / civic character	Positive	Praises the people’s ‘virtue and fortitude’ and emphasizes continued ‘unimpaired fraternal feeling’ despite partisan exasperation.	Party exasperation has been often carried to its highest point; the virtue and fortitude of the people have sometimes been greatly tried; yet our system	civic virtue; unity; partisanship; institutions	https://www.presidency.ucsb.edu/documents/inaugural-address-28	The American Presidency Project (UCSB)	Positive group framing: Americans praised for virtue/fortitude and fraternal feeling.
REC-0016	Martin Van Buren	1837–1841	###############################################################################################################################################################################################################################################################	1838	Proclamation 45A—Neutrality With Respect to Canadian Affairs	Proclamation	General public; U.S. citizens near the Canadian border	Patriot War / Canadian rebellions; neutrality enforcement	persons engaged in such unlawful enterprises	Neutrality violators / unlawful border expeditions	Negative	Warns and condemns Americans attempting or aiding unlawful armed expeditions against British Canada; frames them as violating U.S. law and obligations.	and I do hereby warn all persons engaged in such unlawful enterprises to desist therefrom and to disperse and retire peaceably to their respective abodes.	neutrality; unlawful expedition; border conflict; law enforcement	https://www.presidency.ucsb.edu/documents/proclamation-45a-neutrality-with-respect-canadian-affairs	The American Presidency Project (UCSB)	"Used in place of inaugural for a more developed, enforcement-focused statement."
REC-0017	William Henry Harrison	1841	1841-03-04	1841	Inaugural Address	Inaugural address	The American people	Start of Harrison presidency; outlines Whig constitutional views and warns against partisan excess.	a just and generous people	Americans (citizens) / civic character	Positive	"Describes Americans as ‘just and generous,’ expressing confidence in their support and character."	I shall enter upon their performance with entire confidence in the support of a just and generous people.	civic virtue; confidence; presidency; public support	https://avalon.law.yale.edu/19th_century/harrison.asp	Avalon Project (Yale Law School)	Positive group framing: ‘people’ praised explicitly as just/generous.
REC-0018	William Henry Harrison	1841	1841-03-04	1841	Inaugural Address	Inaugural address	The American people	Warning against factionalism and party spirit as threats to republican liberty.	the spirit of party	Partisans / political factions	Negative	"Characterizes party spirit as intolerant and dangerous, contrasting it with the ‘true spirit of liberty.’"	"These parties of opposition are harsh, vindictive, and intolerant"	faction; party spirit; republicanism; civic virtue	https://avalon.law.yale.edu/19th_century/harrison.asp	Avalon Project (Yale Law School)	Negative group framing: party spirit/partisans portrayed as intolerant and harmful.
REC-0019	John Tyler	1841–1845	1841-04-09	1841	Address Upon Assuming the Office of President of the United States	Address / remarks	The People of the United States	Tyler assumes presidency after William Henry Harrison’s death; first-ever vice presidential succession to the presidency.	the intelligence and patriotism of the people	Americans (citizens) / civic character	Positive	Expresses reliance on the people’s ‘intelligence and patriotism’ for legitimacy and support amid sudden succession.	I shall place in the intelligence and patriotism of the people my only sure reliance.	succession; civic character; patriotism; legitimacy	https://www.presidency.ucsb.edu/documents/address-upon-assuming-the-office-president-the-united-states	The American Presidency Project (UCSB)	Positive group framing: people described as intelligent and patriotic.
REC-0020	John Tyler	1841–1845	###############################################################################################################################################################################################################################################################	1841	Proclamation 46A—Warning Against Lawless Incursions Into Canada	Proclamation	General public; U.S. citizens near the Canadian border	Border raids / neutrality enforcement after 1837–38 unrest	persons engaged in such unlawful enterprises	Lawless raiders / unlawful border incursions	Negative	"Denounces and orders would-be raiders to stand down, describing them as lawless and unlawful."	"and I do hereby enjoin all persons engaged in such unlawful enterprises to desist therefrom, and to disperse and retire peaceably to their respective abodes."	neutrality; border raids; unlawful enterprise; law enforcement	https://www.presidency.ucsb.edu/documents/proclamation-46a-warning-against-lawless-incursions-into-canada	The American Presidency Project (UCSB)	Replaces a brief accession address with a stronger condemnation document.
REC-0021	James K. Polk	1845–1849	1845-03-04	1845	Inaugural Address	Inaugural address	The American people	"Start of Polk presidency; emphasizing union, equality of citizens, and national growth."	"All citizens, whether native or adopted"	Citizenship / immigrants (naturalized citizens)	Positive	Affirms equal status and protection for both native-born and naturalized Americans.	"All citizens, whether native or adopted, are placed upon terms of precise equality. All are entitled to equal rights and equal protection."	citizenship; equality; rights; immigration	https://www.presidency.ucsb.edu/documents/inaugural-address-30	The American Presidency Project (UCSB)	Positive group framing: explicitly equalizes native-born and naturalized citizens.
REC-0022	James K. Polk	1845–1849	###############################################################################################################################################################################################################################################################	1848	Fourth Annual Message	Annual Message to Congress	Congress; national public	End of Mexican–American War; domestic politics; debates over executive power	fanatic and sinister influences	Political factions / extremists	Negative	"Frames domestic opponents as factional and driven by “fanatic and sinister influences,” positioning them as a threat to constitutional checks and stability."	"Error, selfishness, and faction have often sought to rend asunder this web of checks and subject the Government to the control of fanatic and sinister influences"	partisanship; faction; constitutional checks; domestic politics	https://www.presidency.ucsb.edu/documents/fourth-annual-message-6	The American Presidency Project (UCSB)	Substitutes a term-end message for the inaugural to reflect developed governing rhetoric.
REC-0023	Zachary Taylor	1849–1850	1849-03-05	1849	Inaugural Address	Inaugural address	The American people	Start of Taylor presidency; outlines constitutional principles and foreign-policy neutrality.	As American freemen	Americans (citizens) / civic identity	Positive	Frames Americans as ‘freemen’ who sympathize with efforts to extend civil and political liberty.	As American freemen we can not but sympathize in all efforts to extend the blessings of civil and political liberty	civic identity; liberty; foreign policy; neutrality	https://www.presidency.ucsb.edu/documents/inaugural-address-31	The American Presidency Project (UCSB)	Positive group framing: ‘American freemen’ linked to sympathy for liberty.
REC-0024	Zachary Taylor	1849–1850	1849-12-04	1849	First Annual Message	Annual message to Congress	U.S. Congress	Post–Mexican-American War era; neutrality issues and enforcement of U.S. laws against private military expeditions.	a considerable number of adventurers	Private military expedition organizers / lawbreakers	Negative	"Describes the group as ‘adventurers’ organizing an illegal military expedition from within the U.S., and frames suppression as necessary for American honor and lawful authority."	Having been apprised that a considerable number of adventurers were engaged in fitting out a military expedition within the United States	law and order; neutrality; filibustering; Cuba; American honor	https://millercenter.org/the-presidency/presidential-speeches/december-4-1849-first-annual-message	Miller Center (UVA)	Negative group framing: ‘adventurers’ involved in unlawful expedition portrayed as a threat to honor/law.
REC-0025	Millard Fillmore	1850–1853	1850-12-02	1850	First Annual Message	Annual message to Congress	U.S. Congress	Post–Compromise of 1850 era; outlining principles of national sovereignty and relations among nations.	The people of the United States	Americans (citizens) / political principles	Positive	Portrays Americans as fair-minded: claiming self-government for themselves while readily conceding the same right to others.	"The people of the United States claim this right for themselves, and they readily concede it to others."	self-government; national principles; international reciprocity	https://www.presidency.ucsb.edu/documents/first-annual-message-7	The American Presidency Project (UCSB)	Positive group framing: Americans described as asserting and respecting self-government.
REC-0026	Millard Fillmore	1850–1853	1851-12-02	1851	Second Annual Message	Annual message to Congress	U.S. Congress	Enforcement of the Fugitive Slave Act; federal officers resisted during attempts to execute the law.	lawless and violent mobs	Domestic resistance / mobs (law enforcement obstruction)	Negative	"Condemns organized resistance as ‘lawless and violent,’ blaming it for obstructing federal officers and causing death/injury."	their efforts frustrated and defeated by lawless and violent mobs	law and order; federal enforcement; mobs; fugitive slave law	https://www.presidency.ucsb.edu/documents/second-annual-message-7	The American Presidency Project (UCSB)	Negative group framing: ‘lawless and violent mobs’ resisting enforcement are explicitly criticized.
REC-0027	Franklin Pierce	1853–1857	1853-03-04	1853	Inaugural Address	Inaugural address	The American people	Beginning of Pierce presidency; reflecting on U.S. constitutional strength and the founding generation.	our fathers	Founding generation / early Americans	Positive	Praises the founding generation as having fulfilled a ‘great mission’ wisely and bravely.	the great mission so wisely and bravely fulfilled by our fathers.	founding; national character; Constitution; civic virtue	https://www.presidency.ucsb.edu/documents/inaugural-address-32	The American Presidency Project (UCSB)	Positive group framing: explicit praise of the founding generation.
REC-0028	Franklin Pierce	1853–1857	1856-01-24	1856	Special Message Regarding Disturbances in Kansas	Special message	U.S. Congress	Bleeding Kansas; disputes over legitimacy of territorial government and competing political organizations.	a mere party in the Territory	Political faction / extra-legal organizers	Negative	"Criticizes a faction acting ‘without law’ as lacking authority, framing their actions as revolutionary and potentially insurrectionary."	claimed by a mere party in the Territory.	Kansas; law and order; faction; insurrection; popular sovereignty	https://www.presidency.ucsb.edu/documents/special-message-3068	The American Presidency Project (UCSB)	Negative group framing: faction described as acting without lawful authority.
REC-0029	James Buchanan	1857–1861	1857-03-04	1857	Inaugural Address	Inaugural address	The American people	Start of Buchanan presidency amid rising sectional tensions; appeal to national unity and constitutional order.	my friends and fellow-citizens	Americans (citizens) / civic unity	Positive	Frames Americans as ‘friends and fellow-citizens’ and emphasizes shared commitment to the Constitution and Union.	"I shall on all occasions use my best exertions to preserve, protect, and defend the Constitution"	unity; Constitution; union; civic duty	https://www.presidency.ucsb.edu/documents/inaugural-address-33	The American Presidency Project (UCSB)	Positive group framing: unifying address to citizens as friends/fellow-citizens and commitment to constitutional preservation.
REC-0030	James Buchanan	1857–1861	###############################################################################################################################################################################################################################################################	1858	Proclamation 76—Rebellion in the Territory of Utah	Proclamation	Residents of Utah Territory; U.S. public	Utah War; federal authority vs. territorial resistance	the people of Utah Territory	Territorial rebels / resisters of federal authority	Negative	Characterizes organized territorial resistance as rebellion and explicitly ties it to treason.	This is rebellion against the Government of the United States	rebellion; territorial governance; federal authority; treason	https://www.presidency.ucsb.edu/documents/proclamation-76-rebellion-the-territory-utah	The American Presidency Project (UCSB)	Replaces inaugural with a direct condemnation tied to a concrete conflict.
REC-0031	Abraham Lincoln	1861–1865	1861-03-04	1861	First Inaugural Address	Inaugural address	The American people	Secession crisis; Lincoln appeals for Union and avoids civil war at the outset of his presidency.	"My countrymen, one and all"	Americans (citizens) / national unity	Positive	"Frames Americans across sections as bound by ‘bonds of affection’ and urges unity: ‘We are not enemies, but friends.’"	"We are not enemies, but friends. We must not be enemies."	union; reconciliation; secession crisis; civic unity	https://avalon.law.yale.edu/19th_century/lincoln1.asp	Avalon Project (Yale Law School)	Positive group framing: fellow Americans characterized as ‘friends’ despite sectional strain.
REC-0032	Abraham Lincoln	1861–1865	1861-04-15	1861	Proclamation 80—Calling Forth the Militia and Convening an Extra Session of Congress	Proclamation	State authorities and the public	"After the attack on Fort Sumter; Lincoln calls for 75,000 militia to suppress rebellion and enforce federal law."	the persons composing the combinations aforesaid	Insurrectionists / secessionist rebels	Negative	Describes the group as obstructing the execution of U.S. laws and orders them to disperse; frames them as unlawful ‘combinations.’	I hereby command the persons composing the combinations aforesaid to disperse	Civil War; insurrection; militia; law enforcement; Union	https://www.presidency.ucsb.edu/documents/proclamation-80-calling-forth-the-militia-and-convening-extra-session-congress	The American Presidency Project (UCSB)	Negative group framing: rebels/insurrectionists described as ‘combinations’ obstructing federal law; ordered to disperse.
REC-0033	Andrew Johnson	1865–1869	1865-12-04	1865	First Annual Message	Annual message to Congress	U.S. Congress	Immediate post–Civil War Reconstruction; restoring Union and civil government in former Confederate states.	the loyal people of the United States	Union loyalists / Americans (citizens)	Positive	Praises ‘loyal’ Americans for sustaining the government and expects their continued support for reconstruction and public order.	I cannot doubt that the loyal people of the United States will willingly sustain the Government in the efforts it is making	Reconstruction; loyalty; Union; governance; public order	https://www.presidency.ucsb.edu/documents/first-annual-message-10	The American Presidency Project (UCSB)	Positive group framing: ‘loyal people’ treated as backbone of restoration and governance.
REC-0034	Andrew Johnson	1865–1869	1866-03-27	1866	Veto Message (Civil Rights Bill)	Veto message	U.S. Senate	Reconstruction conflict between Johnson and Congress over civil rights and federal power; Johnson vetoes Civil Rights Act of 1866.	the freedmen	Freed Black Americans (freedmen) / civil rights	Negative	Frames the bill as giving special protections/advantages to ‘freedmen’ over others; treats the group as the focus of objectionable ‘discrimination.’	in favor of the colored race and against the white race.	Civil Rights Act 1866; race; Reconstruction; veto; equality/discrimination framing	https://millercenter.org/the-presidency/presidential-speeches/march-27-1866-veto-civil-rights-bill	Miller Center (UVA)	"Negative group framing: Johnson’s veto frames protections for freedpeople as unfair ‘discrimination.’ (Historically significant, but document is politically charged.)"
REC-0035	Ulysses S. Grant	1869–1877	1869-03-04	1869	First Inaugural Address	Inaugural address	The American people	Post–Civil War Reconstruction; urging calm settlement of postwar issues and equal enforcement of law.	law-abiding Americans (native-born and naturalized citizens)	Citizenship / Americans (native-born and naturalized citizens)	Positive	Grant frames law-abiding Americans—native-born and naturalized citizens—as entitled to equal rights and protection under U.S. law.	"I would protect the law-abiding citizen, whether of native or foreign birth, wherever his rights are jeopardized"	citizenship; civil rights; equal protection; rule of law	https://millercenter.org/the-presidency/presidential-speeches/march-4-1869-first-inaugural-address	Miller Center (UVA)	Positive group framing: ‘law-abiding’ citizens explicitly protected regardless of birth status.
REC-0036	Ulysses S. Grant	1869–1877	1871-10-17	1871	Proclamation Suspending Habeas Corpus (South Carolina)	Proclamation	Public and federal/state officials	Enforcement Acts / Ku Klux Klan violence; federal response to organized intimidation and obstruction of law in South Carolina.	unlawful combinations and conspiracies	Insurrectionists / Klan conspirators / organized lawbreakers	Negative	Labels the group ‘unlawful’ and ‘rebellion’ and orders them to disperse; frames them as obstructing justice and depriving classes of rights.	all persons composing such unlawful combinations and conspiracies to disperse and retire peaceably to their homes	Reconstruction; Ku Klux Klan; law and order; civil rights enforcement; habeas corpus	https://millercenter.org/the-presidency/presidential-speeches/october-17-1871-proclamation-suspending-habeas-corpus	Miller Center (UVA)	Negative group framing: organized conspirators treated as unlawful/insurrectionary and subject to extraordinary federal measures.
REC-0037	Rutherford B. Hayes	1877–1881	1877-03-05	1877	Inaugural Address	Inaugural address	The American people	Post–Civil War Reconstruction and the contested 1876 election; Hayes frames civil rights and local self-government in the South.	the people it has emancipated	Freedpeople / emancipated race (Black Americans)	Positive	"Affirms a federal moral obligation to establish and protect the rights of formerly enslaved people, presenting their rights as legitimate and enforceable."	"That a moral obligation rests upon the National Government to employ its constitutional power and influence to establish the rights of the people it has emancipated, and to protect them in the enjoyment of those rights"	Reconstruction; civil rights; emancipation; race relations; constitutional duty	https://millercenter.org/the-presidency/presidential-speeches/march-5-1877-inaugural-address	Miller Center (UVA)	Positive group framing: explicitly supports protecting the rights of the emancipated population.
REC-0038	Rutherford B. Hayes	1877–1881	1877-07-18	1877	Message/Proclamation Regarding Railroad Strike	Proclamation	Public and state authorities (West Virginia)	Great Railroad Strike of 1877; federal response to domestic violence and obstruction of laws on rail lines.	all persons engaged in or connected with said domestic violence and obstruction of the laws	Rioters / insurgents / lawbreakers	Negative	"Labels the group as participants in ‘domestic violence’ and ‘obstruction of the laws,’ warning them to disperse—clear condemnation of unlawful action."	I do hereby warn all persons engaged in or connected with said domestic violence and obstruction of the laws to disperse and retire peaceably to their respective abodes	Great Railroad Strike of 1877; domestic violence; law and order; federal intervention	https://millercenter.org/the-presidency/presidential-speeches/july-18-1877-message-regarding-railroad-strike	Miller Center (UVA)	Negative group framing: condemns those involved in domestic violence/obstruction as unlawful actors.
REC-0039	James A. Garfield	1881	1881-03-04	1881	Inaugural Address	Inaugural address	The American people	"Post-Reconstruction era; civil service reform debate; emphasis on education, national unity, and equal rights."	the freedmen	Freed Black Americans / civil rights	Positive	Affirms the ‘complete protection’ of civil and political rights for Black Americans as a core national duty.	the complete protection of the civil and political rights of the freedmen is a duty which the Government owes	civil rights; Reconstruction legacy; equality; freedmen	https://www.presidency.ucsb.edu/documents/inaugural-address-34	The American Presidency Project (UCSB)	Positive group framing: explicit commitment to protecting freedmen’s civil/political rights.
REC-0040	James A. Garfield	1881	1881-03-04	1881	Inaugural Address	Inaugural address	The American people	Continued anxiety about election integrity and corruption; calls for reform and public virtue.	the criminal classes	Criminals / lawbreakers	Negative	Contrasts civic virtue with threats from ‘criminal classes’ influencing elections—explicitly condemning that group.	should be effectually prevented from	elections; corruption; law and order; civic virtue	https://www.presidency.ucsb.edu/documents/inaugural-address-34	The American Presidency Project (UCSB)	Negative group framing: ‘criminal classes’ portrayed as corrupting elections/ballot.
REC-0041	Chester A. Arthur	1881–1885	1881-12-06	1881	First Annual Message	Annual message to Congress	U.S. Congress	After Garfield’s assassination; Arthur outlines national conditions and advocates civil service reform and modernization.	the intelligent and enterprising people of the United States	Americans (citizens) / national character	Positive	"Describes Americans as ‘intelligent and enterprising,’ framing prosperity as rooted in their character and industry."	the intelligent and enterprising people of the United States	national character; prosperity; industry; modernization	https://www.presidency.ucsb.edu/documents/first-annual-message-12	The American Presidency Project (UCSB)	Positive group framing: Americans praised for intelligence/enterprise.
REC-0042	Chester A. Arthur	1881–1885	1881-12-06	1881	First Annual Message	Annual message to Congress	U.S. Congress	Concern about attacks on U.S. officials and rising political violence; need for legal protection and order.	lawless persons	Lawbreakers / violent offenders	Negative	Condemns violent actors as ‘lawless persons’ and frames their actions as threats to order and governance.	acts of violence perpetrated by lawless persons	law and order; violence; political assassination; governance	https://www.presidency.ucsb.edu/documents/first-annual-message-12	The American Presidency Project (UCSB)	Negative group framing: ‘lawless persons’ identified as perpetrators of violence.
REC-0043	Grover Cleveland	1885–1889	1885-03-04	1885	First Inaugural Address	Inaugural address	The American people	Start of Cleveland’s first term; a Democratic president after a long Republican run since the Civil War; calls for civic unity and responsible government.	a great and free people	Americans (citizens) / civic identity	Positive	"Describes the electorate as ‘great and free,’ framing the transfer of power as legitimate self-government."	the manifestation of the will of a great and free people.	inaugural; democracy; civic identity; self-government	https://millercenter.org/the-presidency/presidential-speeches/march-4-1885-first-inaugural-address	Miller Center (UVA)	Positive group framing: Americans characterized as ‘great and free’ within a self-government narrative.
REC-0044	Grover Cleveland	1885–1889	###############################################################################################################################################################################################################################################################	1886	Proclamation 275—Intent to use Force Against Unlawful Assemblages in the Territory of Washington	Proclamation	Residents of Washington Territory; U.S. public	Civil disorder/rioting in Washington Territory; federal readiness to enforce order	evil-disposed persons	Rioters / unlawful assemblages	Negative	"Describes participants as “evil-disposed” and orders them to disperse, framing the group as an unlawful insurgent threat to public order."	I do hereby command and warn all persons engaged in said unlawful assemblage to disperse and retire peaceably to their respective homes	civil disorder; unlawful assemblage; federal force; public order	https://www.presidency.ucsb.edu/documents/proclamation-275-intent-use-force-against-unlawful-assemblages-the-territory	The American Presidency Project (UCSB)	Substitutes a governance-era proclamation for the inaugural.
REC-0045	Benjamin Harrison	1889–1893	1889-03-04	1889	Inaugural Address	Inaugural address	The American people	"Start of Harrison presidency; stresses national progress, civic virtue, and social order at the close of the 19th century."	the great body of our people	Americans (citizens) / national character	Positive	"Praises Americans as ‘stable, patriotic, and law-abiding,’ using the phrase to affirm national resilience and civic order."	"the great body of our people are stable, patriotic, and law-abiding."	national character; civic order; patriotism; law-abiding	https://millercenter.org/the-presidency/presidential-speeches/march-4-1889-inaugural-address	Miller Center (UVA)	Positive group framing: emphasizes the stability/patriotism of the majority of Americans.
