President	Term start	Term end	Start-of-term item type	Start headline / topic line (verbatim)	Start newspaper title	Start date (issue)	Start page	Start link (URL)	End-of-term item type	End headline / topic line (verbatim)	End newspaper title	End date (issue)	End page	End link (URL)	Archive / collection	Rights note (plain-English)	Notes / context	Suggested search keywords
James Buchanan	1857-03-04	1861-03-04	Editorial comment on inaugural	"“Mr. Buchanan’s Inaugural address … It is a plain, well written and unassuming document. Most of it we heartily endorse.”"	"The Federal Union (Milledgeville, Georgia)"	1857-03-10	p. 3 (seq-3)	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn86053071/1857-03-10/ed-1/seq-3/	Editorial / retrospective criticism	"“… treason in his Cabinet, and the atrocious perfidy of many others who surrounded him, prevented his acts from corresponding with the exigencies of the period.” (re: Buchanan’s administration)"	"Southern Confederacy (Atlanta, Georgia)"	1861-04-20	p. 2 (seq-2)	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn82014677/1861-04-20/ed-1/seq-2/	Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	Public domain (U.S.): newspapers published in 1857 and 1861 are >95 years old.	"Start-of-term: The Federal Union describes Buchanan’s inaugural as “plain, well written and unassuming” and says “Most of it we heartily endorse.” End-of-term/after: Southern Confederacy frames Buchanan’s administration as hampered by “treason in his Cabinet” and “perfidy,” implying failure leading into the secession crisis."	Buchanan inaugural plain well written unassuming endorse; treason in cabinet perfidy Buchanan administration 1861
Abraham Lincoln	1861-03-04	1865-04-15	Newspaper page (OCR text view)	(Inauguration coverage) President Lincoln inaugurated (topic line)	"Chicago daily tribune. (Chicago, Ill.)"	1861-03-05	1	https://www.loc.gov/resource/sn84031490/1861-03-05/ed-1/?sp=1&st=text	Newspaper page (OCR text view)	Lincoln is a failure	"Brooklyn daily eagle. (Brooklyn, N.Y.)"	1864-09-06	2	https://www.loc.gov/resource/sn83031173/1864-09-06/ed-1/?sp=2&st=text	Library of Congress – Chronicling America / NDNP	"The Library of Congress believes that the newspapers in Chronicling America are in the public domain or have no known copyright restrictions. Newspapers published in the United States more than 95 years ago are in the public domain in their entirety. Any newspapers in Chronicling America that were published less than 95 years ago are also believed to be in the public domain, but may contain some copyrighted third party materials."	Links follow standard Chronicling America URL patterns; please verify the exact page/headline placement in the OCR view when you use the sheet.	Abraham Lincoln inauguration newspaper; Abraham Lincoln criticism end of term newspaper; site:loc.gov chroniclingamerica
Andrew Johnson	1865-04-15	1869-03-04	Editorial / commentary (praise of Johnson early in term)	President Johnson's Addresses	New York Times	1865-04-22	p. 4? (see PDF: text at PDF p. 52/115)	https://tile.loc.gov/storage-services/service/rbc/lprbscsm/scsm1310/scsm1310.pdf	News report / political resolutions (impeachment-era condemnation)	PUBLIC OPINION. A NUT FOR GRIMES TO CRACK.+K18	New York Tribune	1868-05-15	(single PDF page; see text lines 140–176 in viewer)	https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_euclid_ver04/data/sn83030214/00206530893/1868051501/0103.pdf	Library of Congress (RBC/Selected Historical Newspapers; NDNP/Chronicling America)	Both items are LOC-hosted scans; U.S. newspaper issues from 1865/1868 are public domain. Still cite the source links and use short excerpts/images consistent with fair-use norms for your project.	Start: NYT editorial explicitly praises Johnson’s early public addresses as 'appropriate and becoming' and suggests a 'solemn sense of responsibility.' End: Tribune reports mass-meeting resolutions demanding Johnson’s conviction/removal; calls him an 'apostate' and frames him as 'convicted of high crimes and misdemeanors.'	"""President Johnson's Addresses"" New York Times April 22 1865; ""A Nut for Grimes to Crack"" May 15 1868 Tribune; Johnson apostate condemned conviction"
Ulysses S. Grant	1869-03-04	1877-03-04	Newspaper page	"""Grant's inauguration"" (in-text topic line; page includes celebratory framing of inauguration day)"	The New York herald (New York [N.Y.])	1869-03-05	6	https://chroniclingamerica.loc.gov/lccn/sn83030313/1869-03-05/ed-1/seq-6/	Newspaper page	"""President Grant, shameless, inefficient and ..."" (critical characterization in political commentary)"	"The Indiana State sentinel (Indianapolis, Ind.)"	1876-08-16	1	https://chroniclingamerica.loc.gov/lccn/sn87056600/1876-08-16/ed-1/seq-1/	Library of Congress – Chronicling America (Historic American Newspapers)	LoC notes Chronicling America newspapers are public domain or have no known restrictions; U.S. newspapers >95 years old are public domain (still cite your source).	Start: inauguration-day coverage framing Grant’s inauguration as a positive national moment. End: 1876 election-season criticism portraying Grant/‘Grantism’ as ineffective/corrupt—reflecting late-term public backlash.	Grant's inauguration great day 1869 New York Herald; President Grant shameless inefficient 1876 Indiana State Sentinel; Grantism 1876
Rutherford B. Hayes	1877-03-04	1881-03-04	Newspaper text (OCR)	"Resolved, That this Convention heartily approve of the wise and patriotic efforts of President Hayes to elevate and purify our national civil service, and to promote the peace and prosperity of the whole conutry,"	"Woburn Journal (Woburn, Mass.)"	1877 (Oct–Dec volume; exact issue date not specified in OCR extract)	N/A (plain-text transcription; no page #)	https://archive.org/stream/WoburnJournal/1877-04-Oct-Dec_djvu.txt	Newspaper page (OCR snippet)	The only trouble with President Hayes is that he appears to be an eight-inch man in a four foot mortise.	"The Stark County Democrat (Canton, Ohio)"	1878-08-01	1	https://www.loc.gov/item/sn84028490/1878-08-01/ed-1/?sp=1&st=text	Internet Archive (Woburn Journal); Library of Congress (Chronicling America)	Historic newspapers published >95 years ago are generally public domain; verify your institution’s reuse guidance and cite the source link.	Start-of-term: political convention resolution explicitly praising Hayes’ “wise and patriotic efforts” (civil service reform / prosperity). Later: a partisan jab portraying Hayes as inadequate for the presidency (public dissatisfaction).	Rutherford B. Hayes inauguration newspaper; Rutherford B. Hayes criticism end of term newspaper; site:loc.gov chroniclingamerica
James A. Garfield	1881-03-04	1881-09-19	Newspaper page (Georgia Historic Newspapers OCR excerpt)	The inauguration of James A. Garfield as President of the United States	"Athens banner. (Athens, Ga.)"	1881-03-22	1	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn88054118/1881-03-22/ed-1/seq-1/ocr/	Newspaper page (Georgia Historic Newspapers OCR excerpt)	OUR DEAD PRESIDENT.	"Weekly advertiser-appeal. (Brunswick, Ga.)"	1881-09-24	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn89053387/1881-09-24/ed-1/seq-2/ocr/	Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	Public-access historical newspaper scans; verify rights/usage per the repository’s terms. (Not a LOC/Chronicling America page.)	"Start item: inauguration coverage for Garfield (1881). End item: obituary-style coverage after his assassination and death (""OUR DEAD PRESIDENT"")."	James A. Garfield inauguration newspaper; James A. Garfield criticism end of term newspaper; site:loc.gov chroniclingamerica
Chester A. Arthur	1881-09-19	1885-03-04	News brief / dispatch (approval)	“The Mormon conference … adopted a resolution thanking President Arthur and congress for passing the anti-polygamy bill.”	"The Tombstone epitaph (Tombstone, Ariz.)"	1882-04-17	4	https://chroniclingamerica.loc.gov/lccn/sn84021939/1882-04-17/ed-1/seq-4/	News report / political commentary (party support eroding)	“NEW YORK REPUBLICANS — Hold Convention at Utica … ‘humiliating defeat of the President in his own state.’”	"The Lake County star (Chase/Baldwin, Mich.)"	1884-05-01	3	https://chroniclingamerica.loc.gov/lccn/sn85026421/1884-05-01/ed-1/seq-3/	Library of Congress – Chronicling America	Chronicling America scans: LOC states these newspapers are public domain or have no known restrictions; U.S. newspapers >95 years old are public domain (still cite sources; verify any third?party content if needed).	"Early in Arthur’s term, papers carried items noting public approval (e.g., resolutions ‘thanking’ him for signing the anti?polygamy law). By 1884, coverage of Republican convention politics highlighted Arthur’s weakening standing—described as a ‘humiliating defeat’ for him in his own state."	President Arthur thanked anti-polygamy bill 1882 newspaper; Arthur humiliating defeat in his own state 1884; sn85026421 1884-05-01; sn84021939 1882-04-17
Grover Cleveland (1st)	1885-03-04	1889-03-04	News item (OCR page)	OCR excerpt includes: “Cleveland hade den ... uäuit Milton J. Durham fran Kentucky ...”	"Skaffaren. (St. Paul, Minn.)"	###############################################################################################################################################################################################################################################################	1	https://chroniclingamerica.loc.gov/lccn/sn90059655/1885-03-25/ed-1/seq-1/	Newspaper page (Georgia Historic Newspapers OCR excerpt)	IT LOOKS LIKE HARRISON.	The Savannah tribune. (Savannah [Ga.])	1888-11-10	1	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn84020323/1888-11-10/ed-1/seq-1/ocr/	Library of Congress – Chronicling America; Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	"Mixed open archives: Chronicling America (LOC) and Georgia Historic Newspapers (DLG). For student use, quote brief excerpts, cite the repository, and follow terms."	Start item: Swedish-language paper listing Cleveland administration appointments soon after his 1885 inauguration. End item: 1888 election coverage (“IT LOOKS LIKE HARRISON.”) framing Cleveland’s defeat at the close of his first term.	"Skaffaren 1885-03-25 Cleveland administration appointments; Savannah tribune 1888-11-10 ""IT LOOKS LIKE HARRISON"" defeat of Mr. Cleveland"
Benjamin Harrison	1889-03-04	1893-03-04	Newspaper page (Georgia Historic Newspapers OCR excerpt)	THE INAUGURATION.	The Savannah tribune. (Savannah [Ga.])	1889-03-09	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn84020323/1889-03-09/ed-1/seq-2/ocr/	Newspaper page (Georgia Historic Newspapers OCR excerpt)	Harrison and White- Jeid are worse beaten	The Bainbridge democrat.	1892-11-24	1	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn88054079/1892-11-24/ed-1/seq-1/ocr/	Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	Public-access historical newspaper scans; verify rights/usage per the repository’s terms. (Not a LOC/Chronicling America page.)	Start item: inauguration-day commentary welcoming Harrison (1889). End item: post-election write-up emphasizing how badly Harrison’s ticket was beaten (1892).	Benjamin Harrison inauguration newspaper; Benjamin Harrison criticism end of term newspaper; site:loc.gov chroniclingamerica
Grover Cleveland (2nd)	1893-03-04	1897-03-04	Newspaper page (Georgia Historic Newspapers OCR excerpt)	Cleveland’s inaugural address is characteristic of the great statesman that he is.	"The Oglethorpe echo. (Crawford, Ga.)"	1893-03-10	4	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn85027057/1893-03-10/ed-1/seq-4/ocr/	Newspaper page (Georgia Historic Newspapers OCR excerpt)	"Mr. Cleveland will -also go down in history as \ most, if not THE most unpopular presi dent."	"The Cleveland progress. (Cleveland, White County, Ga.)"	1896-07-03	2	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn88054127/1896-07-03/ed-1/seq-2/ocr/	Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	Public-access historical newspaper scans; verify rights/usage per the repository’s terms. (Not a LOC/Chronicling America page.)	Start item: glowing take on Cleveland’s second inaugural address (1893). End item: political backlash describing him as (among) the most unpopular presidents late in his second term (1896).	Grover Cleveland (2nd) inauguration newspaper; Grover Cleveland (2nd) criticism end of term newspaper; site:loc.gov chroniclingamerica
William McKinley	1897-03-04	1901-09-14	Newspaper page (Georgia Historic Newspapers OCR excerpt)	The beautiful inaugural day on which Pres. McKinley took the oath of office	The Savannah tribune. (Savannah [Ga.])	1897-03-13	3	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn84020323/1897-03-13/ed-1/seq-3/ocr/	Newspaper page (Georgia Historic Newspapers OCR excerpt)	"REST, YE, MARTYRED RULER."	"The Savannah morning news. (Savannah, Ga.)"	1901-09-20	6	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn89053684/1901-09-20/ed-1/seq-6/ocr/	Georgia Historic Newspapers (Digital Library of Georgia / GALILEO; Open ONI platform)	Public-access historical newspaper scans; verify rights/usage per the repository’s terms. (Not a LOC/Chronicling America page.)	Start item: upbeat description of McKinley’s inauguration-day (1897). End item: memorial coverage after his assassination and death (1901).	William McKinley inauguration newspaper; William McKinley criticism end of term newspaper; site:loc.gov chroniclingamerica
Theodore Roosevelt	1901-09-14	1909-03-04	Newspaper page (OCR text view)	THEODORE ROOSEVELT INAUGURATED	"The critic and record. (Fairmont, W. Va.)"	1905-03-23	1	https://www.loc.gov/resource/sn86092144/1905-03-23/ed-1/?sp=1&st=text	Newspaper page (OCR text view)	Severe criticism of Theodore Roosevelt's recent public utterances …	"Evening star. (Washington, D.C.)"	1911-05-25	2	https://www.loc.gov/resource/sn83045462/1911-05-25/ed-1/?sp=2&st=text	Library of Congress – Chronicling America / NDNP	"The Library of Congress believes that the newspapers in Chronicling America are in the public domain or have no known copyright restrictions. Newspapers published in the United States more than 95 years ago are in the public domain in their entirety. Any newspapers in Chronicling America that were published less than 95 years ago are also believed to be in the public domain, but may contain some copyrighted third party materials."	Start link may need verification (Fairmont paper LCCN/date). End item is confirmed LOC OCR text page that explicitly notes severe criticism of Roosevelt.	Theodore Roosevelt inauguration newspaper; Theodore Roosevelt criticism end of term newspaper; site:loc.gov chroniclingamerica
William Howard Taft	1909-03-04	1913-03-04	News report (presidential visit / public reception)	“Spends Happy Day.” (President Taft described as enjoying big crowds and receiving a demonstrative welcome during a visit.)	"The Montgomery advertiser. (Montgomery, Alabama)"	1909-11-02	1	https://chroniclingamerica.loc.gov/lccn/sn84020645/1909-11-02/ed-1/seq-1/	Election results report / repudiation narrative	“VERITABLE LANDSLIDE FOR DEMOCRATIC NOMINEES.” (article text notes “President Taft was defeated… [and] had carried but three small States…”)	"St. Landry clarion. (Opelousas, Louisiana)"	1912-11-09	1	https://chroniclingamerica.loc.gov/lccn/sn88064250/1912-11-09/ed-1/seq-1/	Library of Congress — Chronicling America (Historic American Newspapers)	"These are U.S. newspaper pages (1908, 1912) digitized by the Library of Congress. Because they were published before 1929, they are generally public domain in the U.S.; for a semi-public student project, use attribution and quote only what you need (headlines/short excerpts)."	"Start: early-term travel coverage portrays Taft as warmly received (“demonstrative welcome,” big crowds). End: election coverage frames Taft as decisively rejected by voters in 1912, with minimal electoral votes—useful as contemporary evidence of end-of-term unpopularity/repudiation."	1909 Taft visit “Spends Happy Day” demonstrative welcome; 1912 “President Taft was defeated” carried three states
